hero,connection
ANCIENT ONE,"ENCHANTRESS/AMORA/HE,ADRIA,DUGAN, TIMOTHY ALOYI,HELLSTORM/DAIMON HEL,AGED GENGHIS,AFTERLIFE,GRIFFIN,PARKER, MAY,BARON MORDO/KARL MOR,HAMIR,AGAMOTTO,ZOM,IN-BETWEENER,GALTUS,TOPAZ,CANTOR, VERA,ASMODEUS,RAKESH,BLESSING, MORGANA,HULK/DR. ROBERT BRUC,NIGHTMARE/EDVARD HAB,DORMAMMU,YMIR,FURY, COL. NICHOLAS ,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,DR. STRANGER YET,ETERNITY/ADAM QADMON,WONG,THOR/DR. DONALD BLAK,CELESTE,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,JONES, GABE,CLEA,RAMA KALIPH,NORRISS, SISTER BARB,CAGE, LUKE/CARL LUCA,APPALLA,HELLCAT/PATSY WALKER,OSBORN, LIZ ALLAN,DAREDEVIL/MATT MURDO,GARGOYLE II/ISAAC CH,ELECTRA,MARVEL GIRL/JEAN GRE,HAWK,SILVER SURFER/NORRIN,SILVER DAGGER/ISAIAH,BENTLEY, VICTORIA,WOLFE, SARA,UMAR"
"ANDERSON, BAXTER","BOUNTY II,BLOODY MARY,BLACK CAT/FELICIA HA"
ANDROS,"LEWIS, SHIRLEY WASHI,SPIDER-MAN/PETER PAR,BRAMER,LASHER/,NARDI,GAUNT/MENDEL STROMM,URICH, BEN,SPIDER-MAN CLONE/BEN,LEWIS, DEVON,HOBGOBLIN V/JASON PH,WATSON-PARKER, MARY"
ANGEL 2013,"UATU,NIGHTCRAWLER 2013,COLOSSUS 2013,STORM 2013,WOLVERINE 2013,PHOENIX 2013,BEAST 2013"
ANGEL II/THOMAS HALL,CLOAK/TYRONE JOHNSON
ANOMALY III,"ERISHKIGEL II/HOLLY ,CHIEF EXAMINER,MAKKARI/MIKE KHARY/I,CAREGIVER/RUBANNA LA,QUASAR III/WENDELL V"
ANTI-VISION,"DEATHCRY [SHI'AR],TABULA RASA,ULTRON,VISION ,ANT-MAN/DR. HENRY J.,CRYSTAL [INHUMAN],LIPTON, LAURA"
AQUARIUS/DARREN BENT,"SITWELL, JASPER,WASP/JANET VAN DYNE ,IRON MAN/TONY STARK ,CANCER/JACK KLEVENO,SCARLET WITCH/WANDA ,ARIES II/GROVER RAYM,SCORPIO/JAKE FURY,CAPTAIN MARVEL/CAPTA,GHOST RIDER II/JOHNN,GUARDSMAN/KEVIN O'BR,LIBRA/GUSTAV BRANDT,SWORDSMAN/JACQUES DU,FURY, COL. NICHOLAS ,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,WOO, JIMMY,TAURUS/CORNELIUS VAN,VISION ,ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK,ARIES/MARCUS LASSITE,RAMROD,SAGITTARIUS/HARLAN V,GEMINI/JOSHUA LINK,LEO/DANIEL RADFORD,MANTIS/? BRANDT,NELSON, FRANKLIN FOG,VIRGO/ELAINE MCLAUGH,CAPRICORN/WILLARD WE,PISCES/NOAH PERRICON,DAREDEVIL/MATT MURDO,BLAZE, ROXANNE SIMPS"
ARAKI [SHI'AR],"KNIGHT, MISTY,DEATHBIRD [SHI'AR],TIGRA/GREER NELSON,MAGNETO/MAGNUS/ERIC ,D'KEN [SHI'AR],YASHIDA, MARIKO,SIKORSKY,CYCLOPS/SCOTT SUMMER,WOLVERINE/LOGAN ,JARVIS, EDWIN ,HAVOK/ALEX SUMMERS ,BLACK TOM CASSIDY,HUSSAR,BLACK KING/SEBASTIAN,CORSAIR,MACTAGGERT, MOIRA KI,SAMEDAR,PROTEUS II,ORACLE/LADY SIBYL,GREY, DR. JOHN,CORBEAU, DR. PETER,STARBOLT,LILANDRA NERAMANI [S,LELAND, HARRY,BEL-DANN, GEN.,GREY, ELAINE,GUARDIAN/JAMES MACDO,ARCADE/,STORM/ORORO MUNROE S,PHOENIX II,MAM'SELLE HEPZIBAH,MASTERMIND/JASON WYN,MISS LOCKE,MENTOR II,BANSHEE/SEAN CASSIDY,GLADIATOR II,ANGEL/WARREN KENNETH,COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA,KELLY, SEN. ROBERT E,QUASAR II,JUGGERNAUT/CAIN MARK,POLARIS/LORNA DANE,MULTIPLE MAN/JAMES A,BEAST/HENRY &HANK& P,PROFESSOR X/CHARLES ,WARSTAR,BINARY/CAROL DANVERS,SILVER SURFER/NORRIN,SUPREME INTELLIGENCE"
ARES [GREEK GOD],"VIZIER,CAPTAIN MARVEL II/MO,PETROVITCH, IVAN,VENUS/APHRODITE/VICT,IKARIS/IKE HARRIS [E,KRISTA,NAMORITA/NITA PRENTI,BLACK KNIGHT V/DANE ,PLUTO [OLYMPIAN],HEPHAESTUS,SERSI/SYLVIA,JARVIS, EDWIN ,HUNTSMAN,JONES, RICHARD MILHO,HERCULES [GREEK GOD],VALKIN,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,THENA,DESTROYER III,EXODUS/BENNET DUPARI,GHOST RIDER II/JOHNN,ATHENA [GREEK GOD],SWORDSMAN/JACQUES DU,NEPTUNE [OLYMPIAN],FURY, COL. NICHOLAS ,DR. DRUID/ANTHONY LU,APOLLO [GREEK GOD],VISION ,ANT-MAN/DR. HENRY J.,HERMES [GREEK GOD],ANGEL/WARREN KENNETH,KINCAID, DR. JANE FO,BALDER [ASGARDIAN],HIPPOLYTA [GREEK GOD,ADVA,HERA/AUGUSTINE JONES,ARTEMIS,SCANNER II,KARMA/XI'AN COY MANH,ENCHANTRESS/AMORA/HE,BLACK WIDOW/NATASHA ,SIF,PROMETHEUS [OLYMPIAN,MAGNETO/MAGNUS/ERIC ,REJECT/RAN-SAK [DEVI,DUGAN, TIMOTHY ALOYI,CRYSTAL [INHUMAN],KARKAS [DEVIANT],ARAGORN,BLACK KNIGHT/SIR PER,MERCURY,ZURAS,WASP/JANET VAN DYNE ,MAJESTON ZELIA,ODIN [ASGARDIAN],FORGOTTEN ONE/GILGAM,FRIGGA,IRON MAN/TONY STARK ,HILDEGARDE [ASGARDIA,DIONYSUS [GREEK GOD],ZEUS,SUNSPOT/ROBERTO DACO,MADISON, TAYLOR,HULK/DR. ROBERT BRUC,WARLOCK III,ONE ABOVE ALL [CELES,DAMIAN, DR. DANIEL,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,CYPHER/DOUG RAMSEY,MAGIK/ILLYANA RASPUT,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GRANT, SILAS,ICEMAN/ROBERT BOBBY ,PERRIKUS,DAMIAN, MARGO,GENII/JASON KIMBALL,VOLSTAGG,SPRITE,RAKKUS,HAWK,SHE-HULK/JENNIFER WA"
ARGOS,"CHANDRA, DR.,INDIGO, ODYSSEUS,THUNDERBIRD II/JAMES,ZONA,BEDLAM/JESSE AARONSO,WYNDHAM, LUCAS,MIRAGE II/DANIELLE M,STRANGLEHOLD,DEVILLE, ARCADIA,REIGNFIRE/,BOOMER/TABITHA SMITH,PYRE II,CANNONBALL II/SAM GU,SLEDGE,SUNSPOT/ROBERTO DACO,VEEG,SELENE,PARSONS, DR. DEREK,DRAGONBLOOD, ULYSSES,GUTHRIE, LUCINDA"
ARLISSE,"RENO, AGENT,SZARDOS, MARGALI,MARVEL GIRL II/VALER,INVISIBLE WOMAN/SUE ,B'ARR,DIAMONDE, YVETTE,MR. FANTASTIC/REED R,MOY, ALYSSA,PUPPY,STEM"
ARMAROS,"AZAZEL II,EZEKEEL"
ARNSTROM,"KA-ZAR/KEVIN PLUNDER,STORM/ORORO MUNROE S,CRYSTAL [INHUMAN],CYCLOPS/SCOTT SUMMER,ICEMAN/ROBERT BOBBY ,SOUTHERN, CANDY,HAVOK/ALEX SUMMERS ,ANGEL/WARREN KENNETH,AVIA,DELUGE,KRUEGER,M'KUMBA,POLARIS/LORNA DANE,BEAST/HENRY &HANK& P,PROFESSOR X/CHARLES ,MARVEL GIRL/JEAN GRE,MR. FANTASTIC/REED R,SAURON/DR. KARL LYKO"
ASHUR,"TURBO II (A)/MICHIKO,SUB-MARINER/NAMOR MA,FUNARO, DONNA,SPEEDBALL/ROBBIE BAL"
ASSAULT/,"KNOCKABOUT/,FURY, COL. NICHOLAS ,GYRICH, HENRY PETER,ANGAR THE SCREAMER/D,SMOKESCREAM/,DUGAN, TIMOTHY ALOYI,BRIDGE, GEORGE WASHI,MAD DOG/COLONEL BUZZ,OVERRIDER/,PSI-BORG/,VIOLENCE/,BATTERY/"
ASTRONOMER,"RUNNER,GALACTUS/GALAN,DEATH,EGO,INVISIBLE WOMAN/SUE ,MS. MARVEL II/SHARON,OBLITERATOR [ELDER],TRADER,SHALLA BAL II,THING/BENJAMIN J. GR,MASTER ORDER,MANTIS/? BRANDT,NOVA II/FRANKIE RAYE,GARDENER/ORD ZYONYZ ,GRANDMASTER/EN DWI G,CHAMPION/TRYCO SLATT,KAMO THARNN,COLLECTOR/TANELEER T,DR. DOOM/VICTOR VON ,CONTEMPLATOR/TATH KI,SILVER SURFER/NORRIN,LORD CHAOS"
ATLAS III,"HERCULES [GREEK GOD],ADVA,THOR/DR. DONALD BLAK,PERRIKUS,HERMES [GREEK GOD],MAJESTON ZELIA,ODIN [ASGARDIAN],ARES [GREEK GOD]"
ATOM-SMASHER/,"KRUMA, TALIA,ANT-MAN/DR. HENRY J.,BLACK GOLIATH/DR. WI,WASP/JANET VAN DYNE"
"ATOR, GENERAL","LLYRON,GORGON [INHUMAN],AHURA,CRYSTAL [INHUMAN],STALLIOR,THING/BENJAMIN J. GR,VIBRAXAS/N'KANO,NEBULO,QUICKSILVER/PIETRO M,SAPPHIRAS,EELAK,MAXIMUS [INHUMAN],MARGOYLE,GLABOO,BLOOD WRAITH/SEAN DO,ANT-MAN II/SCOTT HAR,MEDUSA/MEDUSALITH AM,THOR/DR. DONALD BLAK,ROOTAR,SUB-MARINER/NAMOR MA,HUNTARA/MARY ELIZABE,INVISIBLE WOMAN/SUE ,PULSSUS,TRITON,KRISTOFF/KRISTOFF VE,ZARRKO, ARTHUR,LE FEY, MORGAN,FURGAR,CYNAS,HUMAN TORCH/JOHNNY S,LOCKJAW [INHUMAN],RICHARDS, NATHANIEL"
AUGUST PERSONAGE IN,"LEI KUNG, THE THUNDE,KNIGHT, MISTY,MUTO, JUNZO,MEACHUM, JOY,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,SUNFIRE/SHIRO YOSHID,SUN, LIN,IRON MAN/TONY STARK ,CHAKA KHAN,LANCELOT, SIR,IRON FIST/DANIEL RAN,NINJA/,TRIATHLON/DELROY GAR,MR. FANTASTIC/REED R,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,ANGAR THE SCREAMER/D,ANT-MAN/DR. HENRY J.,DIAMOND, BOB,INVISIBLE WOMAN/SUE ,PSYLOCKE/ELISABETH B,CAGE, LUKE/CARL LUCA,WING, COLLEEN,MASTER KHAN/TYRONE K,RAND, HEATHER DUNCAN,MEACHUM, HAROLD,WING, PROFESSOR,HUMAN TORCH/JOHNNY S,CLINTON, BILL,BINARY/CAROL DANVERS"
AURA/ANN HERD,"OSBORN, NORMIE,KANNOR, ORLANDO,SPIDER-MAN CLONE/BEN,GREEN GOBLIN V/,MASTER PROGRAMMER,OVERRIDE/DR. GREGORY,LOOTER/NORTON G. FES,PUNISHER II/FRANK CA,PROFESSOR ANGST/DR. ,STACY, ARTHUR,THOMPSON, EUGENE FLA,MARTINEZ, LINETTE,MAXWELL, MORRIS,SPIDER-MAN/PETER PAR,WADE, AGENT JOE,JAMESON, J. JONAH,DR. OCTOPUS II/CAROL,SMYTHE, ALISTAIR ALP,TSO, JASON,STACY, PAUL,TRAINER, DR. SEWARD,WATSON-PARKER, MARY ,BRIGGS, AGENT STEPHA,CALDRONE, JAVIER,OSBORN, LIZ ALLAN,TWAKI, DR. TED,GREEN GOBLIN/NORMAN ,PROWLER/HOBIE BROWN,URICH, BEN,SHOTGUN III/,LEEDS, BETTY BRANT,STACY, JILL,WATSON, ANNA"
AURIC/,"HALE, JONAS,TALISMAN II/ELIZABET,BEETLE/ABNER RONALD ,BOOMERANG/FRED MYERS,BOMBSHELL/,WINDSHEAR/COLIN ASHW,FIRESTAR/ANGELICA JO,NEKRA/ADRIENNE HATRO,BOX IV/MADISON JEFFR,NAMORITA/NITA PRENTI,AURORA/JEANNE-MARIE ,WOLVERINE/LOGAN ,WHIPLASH/MARK SCARLO,MASTER/ESHU,SHAMAN/MICHAEL TWOYO,DIAMOND LIL/LILLIAN ,NOVA/RICHARD RIDER,COOPER, DR. VALERIE,GOBLYN,PUCK/EUGENE MILTON J,HIGGINS, SAMUEL,MACTAGGERT, MOIRA KI,ASP II/CLEO,PATHWAY/LAURA DEAN,RHINO,CORSI, TOM,GUARDIAN/JAMES MACDO,SPEEDBALL/ROBBIE BAL,HUDSON, HEATHER,NORTHSTAR/JEAN-PAUL ,SPIDER-MAN/PETER PAR,PERSUASION/KARA KILL,SILVER,NIGHT THRASHER/DUANE,WILD CHILD/KYLE GIBN,WITCHFIRE,SILHOUETTE,SASQUATCH/WALTER LAN,WONG,DR. STRANGE/STEPHEN ,FORGE,HAMMER, JUSTIN,WHIZZER III/JAMES SA,NEMESIS,CONSTRICTOR/FRANK PA,DRAKE, CARLTON,SCORPION/MACDONALD G,DAYTRIPPER/AMANDA SE,DR. DOOM/VICTOR VON ,FRIEDLANDER, SHARON,DISCUS,HYDROMAN/MORRIE BENC,STILETTO,SPHINX"
AURORA | MUTANT X-VE,"BLOODSTORM | MUTANT ,WILD CHILD | MUTANT ,GUARDIAN | MUTANT X-,PUCK | MUTANT X-VERS,FALLEN | MUTANT X-VE,ICE-MAN | MUTANT X-V,SASQUATCH | MUTANT X,WOLVERINE | MUTANT X,SABRETOOTH | MUTANT ,SHAMAN | MUTANT X-VE,BRUTE | MUTANT X-VER,HAVOK/ALEX SUMMERS ,NORTHSTAR | MUTANT X"
"AUSTIN, SUSAN","VIZIER,HEIMDALL [ASGARDIAN],JUSTICE II/VANCE AST,EARTH-LORD/KYLE BROC,UROC,CHORD, ANDREW,FIRESTAR/ANGELICA JO,STELLARIS/LEAH PRINC,SHADOWCAT/KATHERINE ,ARKO,NAMORITA/NITA PRENTI,SKOLL,SERSI/SYLVIA,TAI II,JARVIS, EDWIN ,EXECUTIONER II/SKURG,HERCULES [GREEK GOD],QUICKSILVER/PIETRO M,BETA RAY BILL,MAJOWSKI, SAM MOTHER,GHOST RIDER III/DAN ,DEMONSTAFF,DENNIS, MARTY,NOBILUS,FIELSTEIN, FIREWORKS,DEPAUL, SHIELD SPECI,MONGOOSE,SPIDER-MAN/PETER PAR,BLOODAXE/JACKIE LUKU,O'KEEFE, CHANDRA,NIGHT THRASHER/DUANE,STONE, LT. MARCUS,VISION ,ANT-MAN/DR. HENRY J.,4-D MAN/MERCURIO,BALDER [ASGARDIAN],RASSITANO, MAD DOG,WRECKER III/DIRK GAR,STEELE, BOBBY,NIGHTCRAWLER/KURT WA,JUGGERNAUT/CAIN MARK,KARNILLA [ASGARDIAN],SERVITOR,ENCHANTRESS/AMORA/HE,SIF,BLACK WIDOW/NATASHA ,WIND-WARRIOR/PAMELA ,MASTERSON, KEVIN,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],CRYSTAL [INHUMAN],THUNDERSTRIKE/ERIC K,ODIN [ASGARDIAN],NOVA/RICHARD RIDER,MEGGAN,PARETSKY, DR. GARY,TYRUS,SKYHAWK/WINSTON BILL,THUNDERBALL/DR. ELIO,CARTER, PEGGY,CAPTAIN BRITAIN/BRIA,COBRA/KLAUS VORHEES,MEPHISTO,MARRERO, ED,SANGRE/JULIA CONCEPC,GREY GARGOYLE/PAUL P,ULIK,SPEEDBALL/ROBBIE BAL,BULLDOZER/HENRY CAMP,ANALYZER,RUIZ, RIGGER,CAPTAIN AMERICA,THOR IV/DARGO,WONG,TAGAR,THOR/DR. DONALD BLAK,JOYCE, SAMANTHA,ASBERY, SHAMARI,PHOENIX III/RACHEL S,DR. STRANGE/STEPHEN ,JACKSON, ANDREW JOCK,STEELE, MARCY MASTER,HIGH EVOLUTIONARY/HE,ZARRKO, ARTHUR,VOLSTAGG,WILDSTREAK,LOCKHEED,HELA [ASGARDIAN],QUICKSAND,PILEDRIVER II/BRIAN ,SAPRISTI, JERRY,ANNIHILUS,THOR REPLICOID,FANDRAL [ASGARDIAN],SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V"
AUTHORITY/,"SPHINX III,UATU,SPIDER-MAN/PETER PAR,DR. ZEUS,SKIN/ANGELO ESPINOSA,SYNCH/EVERETT THOMAS,JAMESON, J. JONAH,MEDUSA II,MINOTAUR III,MAN-THING/THEODORE T,SILVER SABLE,ROBERTSON, JOE,MAJOR LOVE,WATSON-PARKER, MARY ,FLAG-SMASHER,HERCULES [GREEK GOD],CHAMBER/JONOTHON STA"
"AVRIL, SALLY","SCORCHER/,SPIDER-MAN/PETER PAR,JAMESON, J. JONAH,ELECTRO/MAX DILLON,ANT-MAN/DR. HENRY J.,PARKER, MAY,JAMESON, COL. JOHN ,CHERRYH, RANDOLPH WI,WASP/JANET VAN DYNE ,IRON MAN/TONY STARK ,OSBORN, LIZ ALLAN,HUMAN TORCH/JOHNNY S,IONELLO, JASON,GREEN GOBLIN/NORMAN ,STACY, CAPT. GEORGE,LEEDS, BETTY BRANT,BATWING/,MCKEEVER, TINY,THOMPSON, EUGENE FLA,STACY, GWEN,OSBORN, HARRY"
"B'KOSA, GEN. JONATHA","ALRAUNE, MARLENE,MOON KNIGHT/MARC SPE,FRENCHIE/JEAN-PAUL D,SIMMONS, ARCHIE,MONTANA II,ARSENAL II,NZAGA,BUSHMAN, RAOUL"
BACILLUS,"STRONTIUM-90/,D'KAY,GHOST RIDER III/DAN ,MIND'S EYE/MEACHAM,IRON FIST/DANIEL RAN,VESPER"
"BAKER, ANNE-MARIE","OSBORN, NORMIE,SPIDER-MAN/PETER PAR,TOMBSTONE/LONNIE THO,ROBERTSON, JOE,BLACK FOX II/,KILLER SHRIKE/SIMON ,WATSON-PARKER, MARY ,LIZARD/DR. CURTIS CO,OSBORN, LIZ ALLAN,TINKERER,SWANN, DR. EVAN,MERCADO, JOY,CARRION II/MALCOLM M,JESSUP, DR.,ARRANGER/,DR. DOOM/VICTOR VON ,LOBO, EDUARDO"
"BALDWIN, JUSTIN","JUSTICE II/VANCE AST,JONES, BART,CHORD, ANDREW,FIRESTAR/ANGELICA JO,AIREO/AEOLUS [INHUMA,BLACK KNIGHT V/DANE ,NAMORITA/NITA PRENTI,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,WATER WIZARD/PETE,ASTROVIK, ARNOLD,NOVA/RICHARD RIDER,HERCULES [GREEK GOD],QUICKSILVER/PIETRO M,WINDSTORM/,PUNISHER II/FRANK CA,PRIMUS,TERRAFORMER/SAM,SPEEDBALL/ROBBIE BAL,STORM/ORORO MUNROE S,WHITE QUEEN/EMMA FRO,NIGHT THRASHER/DUANE,SILHOUETTE,JANES, FATHER MICHAE,STAR THIEF III/DITMI,BENGAL/,RIDER, CHARLES,BALDWIN, MADELYNE MA,DARKHAWK/CHRIS POWEL,PSYLOCKE/ELISABETH B,SPHINX II,SPEEDBALL II/DARRION,COLOSSUS II/PETER RA,SABRA/RUTH BAT-SERAP,ASTROVIK, NORMA,NIELS"
"BALLANTINE, KAYLA","EON,CAPTAIN MARVEL II/MO,GLOM,BETELHEIM, NORMA,BLACK KNIGHT V/DANE ,MAKKARI/MIKE KHARY/I,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,SHAMAN/MICHAEL TWOYO,KINCAID, DR. KEITH,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,BLACK RACER/,ELO,GHOST RIDER III/DAN ,SOUL-EATER,LILANDRA NERAMANI [S,LORD CHAOS,RUNNER,UATU,INVISIBLE WOMAN/SUE ,PHOBIUS,HYPERION,BLUR,MINERVA [KREE],WHIZZER III/JAMES SA,CROSSBONES/BROCK BIN,NIGHTCRAWLER/KURT WA,ARCANNA/ARCANNA JONE,LIVING LASER/ARTHUR ,CHIEF EXAMINER,ROGUE /,WONDER MAN/SIMON WIL,SHATTERAX,MAGUS,LOKI [ASGARDIAN],SHINSKI, PROFESSOR W,CYCLOPS/SCOTT SUMMER,THUNDERSTRIKE/ERIC K,DEATHURGE,MEGGAN,ORIGIN/PHYLLIS TWOMB,SERGEI,DRAGONFLY/VERONICA D,BLACK CROW/JESSE BLA,FATH,STORM/ORORO MUNROE S,BLOOD BROTHERS,PUENTES, DONNA MARIA,JAMESON, COL. JOHN ,ANOMALY,COLOSSUS II/PETER RA,DIAMONDBACK II/RACHE,TUTINAX,BALLANTINE, DEVON,OBLIVION,SUPER SABRE/MARTIN F,MARVEL GIRL/JEAN GRE,HAWK,ARAKI II,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V,TALISMAN II/ELIZABET,DR. SPECTRUM/JOSEPH ,BALLANTINE, MRS.,ATLAS,MORLAK, MARIS,GAEA,AURORA/JEANNE-MARIE ,JARVIS, EDWIN ,BEAUTY,HERCULES [GREEK GOD],STRONG GUY/GUIDO CAR,KRONOS,MARVEL BOY VI,O'BRIEN, MICHAEL,CAPTAIN MARVEL/CAPTA,TANAKA, KENJIRO,CAREGIVER/RUBANNA LA,THERMO II/,THUNDERBIRD II/JAMES,SPIDER-MAN/PETER PAR,QUAGMIRE,DR. DRUID/ANTHONY LU,ETERNITY/ADAM QADMON,VISION ,SASQUATCH/WALTER LAN,MAELSTROM/MALCOLM ST,ANGLER,ANGEL/WARREN KENNETH,VAUGHAN, MRS.,VAUGHAN, GAYLE,HEAT-RAY/,WHIZZER II/STANLEY S,HAYWIRE/,HARKNESS, AGATHA,HUMAN TORCH/JOHNNY S,WOODGOD,MODAM,PROFESSOR X/CHARLES ,STINGRAY/DR. WALTER ,EPOCH,POWER PRINCESS/ZARDA,ERISHKIGEL II/HOLLY ,REJECT/RAN-SAK [DEVI,USAGENT/CAPTAIN JOHN,GAMORA,KISMET/J'RIDIA STARD,NOVA/RICHARD RIDER,IRON MAN/TONY STARK ,KRUGGAR,MOONDRAGON/HEATHER D,STARBOLT,COBRA/KLAUS VORHEES,MADAME MASQUE II/,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,ELECTRON,ANTIBODY,KID REAPER,TRUTH,CAPTAIN AMERICA,HUDSON, HEATHER,GALACTUS/GALAN,MASTER ELO,HALFLIFE,DR. STRANGE/STEPHEN ,PHOENIX III/RACHEL S,JACK OF HEARTS/JACK ,KORATH THE PURSUER,DIAMONDHEAD/DYKER,PSYLOCKE/ELISABETH B,LIVING LIGHTNING/MIG,THANOS,DRAX/ARTHUR DOUGLAS,CHARM,WARLOCK II/ADAM WARL,ANOMALY III,LADY LARK/LINDA LEWI,FLASH/BARRY ALLEN/BU,RED GUARDIAN III/DR.,KRO [DEVIANT],OVERMIND/GROM,HELIO"
