hero,connection
AJAX,"HOTSHOT/LOUIS,HOGUN [ASGARDIAN],SHANZAR,RED GUARDIAN V,ATALANTA,ARABIAN KNIGHT/ABDUL,ST. LAWRENCE, COL. C,COOPER, DR. VALERIE,HAVOK/ALEX SUMMERS ,PERUN,LEADER/SAM STERNS,JONES, RICHARD MILHO,THOR II/ROGER RED NO,WILD ONE,STRONG GUY/GUIDO CAR,WOLFSBANE/RAHNE SINC,VAPOR,AGAMEMNON III/,TRAUMA,HOARFEN,VOSTOK,JASON,BERENGHETTI, SUSAN,DELPHI,HULK/DR. ROBERT BRUC,WILD MAN/ALEX WILDMA,ULYSSES II,STORM/ORORO MUNROE S,IRONCLAD,CAPTAIN AMERICA,SUMMERS, NATHAN CHRI,PARIS,DAHN, FARNOQ,JONES, MARLO CHANDLE,SUB-MARINER/NAMOR MA,OGRESS/,DR. STRANGE/STEPHEN ,DRACCHISS,BERENGHETTI, MICHAEL,SHORR, JACQUELINE,ABOMINATION/EMIL BLO,VOLSTAGG,CASSIOPEIA,HECTOR II,TALBOT, MAJ. MATT,ACHILLES II/HELMUT,MULTIPLE MAN/JAMES A,POLARIS/LORNA DANE,JAILBAIT/JESS,HELA [ASGARDIAN],ROCK/SAMUEL JOHN ROC,PROMETHEUS II,X-RAY,BANNER, BETTY ROSS T,FANDRAL [ASGARDIAN],JONES, JANIS"
AJES'HA,"STERMAN, ANDREA ANDI,CHARCOAL/CHARLIE BUR,CAPTAIN BRITAIN/BRIA,MOONSTONE II/KARLA S,FIXER II/PAUL NORBER,HAWK,SUPREME INTELLIGENCE"
AKAFE,"BLACK PANTHER/T'CHAL,WHEELER, M'KONI MARY,OMORO,MALICE V/NAKIA,NORTH, DAKOTA,QUEEN DIVINE JUSTICE,THING/BENJAMIN J. GR,VIBRAXAS/N'KANO,ZURI"
ALBERIK,"R'TEE,SINTARIIS,FAYRELYTE STRONGHEAR,NURO,FIZ [SKRULL],PROFESSOR X/CHARLES ,BASALTAR,SPUNJE"
ALBINO/DR. AUGUSTA S,NOVA/RICHARD RIDER
ALCHEMY/THOMAS JONES,"BRIGHTWIND,FERON,SHADOWCAT/KATHERINE ,PYRO/ALLERDYCE JOHNN,CYCLOPS/SCOTT SUMMER,BLOB/FRED J. DUKES,WOLVERINE/LOGAN ,MIRAGE II/DANIELLE M,WIZ KID/TAKESHI MATS,MEGGAN,ORPHAN-MAKER/PETER,WOLFSBANE/RAHNE SINC,MADDICKS, ARTHUR ART,CANNONBALL II/SAM GU,RICTOR/JULIO ESTEBAN,CAPTAIN BRITAIN/BRIA,SUNSPOT/ROBERTO DACO,WARLOCK III,SUMMERS, NATHAN CHRI,GAMBIT/REMY LEBEAU ,SKIDS/SALLY BLEVINS,ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH,PSYLOCKE/ELISABETH B,CERISE II [SHI'AR],NIGHTCRAWLER/KURT WA,BOOMER/TABITHA SMITH,ROGUE /,LEECH,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,NANNY II,MARVEL GIRL/JEAN GRE,JESTER II,FIREFIST/RUSTY COLLI"
ALPHA,"HUMAN TORCH/JOHNNY S,ANT-MAN/DR. HENRY J.,MASTERS, ALICIA REIS,INVISIBLE WOMAN/SUE ,MR. FANTASTIC/REED R"
"ALRAUNE, MARLENE","KNIGHT, MISTY,SAMUELS,FRENCHIE/JEAN-PAUL D,SANDMAN/WILLIAM BAKE,NEDDA,PLASMA/,SILVER SABLE,PARKER, MAY,BLACK SPECTRE/CARSON,ARSENAL II,KILLER SHRIKE/SIMON ,MIDNIGHT III/JEFFREY,GRANT, GLORIA GLORY,OKOYE,WHITE TIGER/HECTOR A,THING/BENJAMIN J. GR,GHOST RIDER III/DAN ,PUNISHER II/FRANK CA,IRON FIST/DANIEL RAN,LANDERS, GENA,LANDERS, RAY,WEREWOLF BY NIGHT/JA,SHADOWKNIGHT/RANDALL,SPIDER-MAN/PETER PAR,WHITMAN, DEBRA,JAMESON, J. JONAH,MONTANA II,ROBERTSON, JOE,VANKIN, JONATHAN,INVISIBLE WOMAN/SUE ,LANDERS, RICKY,BLACK CAT/FELICIA HA,HOBGOBLIN V/JASON PH,MANOLIS, LT. NICK,ZURI,CRAWLEY, BETRAND,PALADIN/PAUL DENNIS,MOON KNIGHT/MARC SPE,MICROCHIP/LINUS LIEB,CAGE, LUKE/CARL LUCA,WING, COLLEEN,CYCLONE,PURPLE MAN/ZEBEDIAH ,DAREDEVIL/MATT MURDO,MORPHEUS/ROBERT MARK,LEEDS, BETTY BRANT,FLINT, LT.,STAINED GLASS SCARLE,PRINCESS NEPTHYS/SAN,KINGPIN/WILSON FISK,BUSHMAN, RAOUL"
"ALVAREZ, FELIX","GHOST,TIGRA/GREER NELSON,USAGENT/CAPTAIN JOHN,SUNTURION/ARTHUR DEA,ARBOGAST, BAMBI,SPYMASTER II,BERKELEY, TRAVIS,THUNDERSTRIKE/ERIC K,WASP/JANET VAN DYNE ,HOGAN, HAROLD J. HAP,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,HOGAN, VIRGINIA PEPP,MADAME MASQUE/GIULIE,RHINO,FONG, LI,TODD, FISHER,CENTURY,LANG, CASSANDRA CASS,MADAME MASQUE II/,PEARSON, MARCY,BLIZZARD II/DONALD G,HULK/DR. ROBERT BRUC,LACOSTE, RAE,SONDHEIM, ERICA,CHANEY, AMANDA,IRON MAN IV/JAMES R.,CABE, BETHANY,ANT-MAN II/SCOTT HAR,CAPTAIN AMERICA,FURY, COL. NICHOLAS ,BERGIER, REBECCA,ANT-MAN/DR. HENRY J.,HAMMER, JUSTIN,LIVING LIGHTNING/MIG,GRANT, PHILLIP,HARKNESS, AGATHA,MANDARIN,MILLER, TRACE,DR. DOOM/VICTOR VON ,ZIMMER, ABE,SPIDER-WOMAN II/JULI,INAZUMA,DARE, KATHLEEN,HAWK,RECORDER II"
AMAZON,"IRONCLAD,STINGER IV,ANT-MAN II/SCOTT HAR,STRIDER,BLACK KNIGHT V/DANE ,MASTER/ESHU,WHITE TIGER II/,KNIGHT ERRANT II,CAGE, LUKE/CARL LUCA,HUMAN TORCH ANDROID/,HERCULES [GREEK GOD],SHE-CAT,VAPOR,IRON FIST/DANIEL RAN,THENA,VECTOR,DEMI-GOD,X-RAY,SHE-HULK/JENNIFER WA,DRAGONFIST"
AMERICAN EAGLE III/J,"QUASAR III/WENDELL V,UNION JACK III/JOEY ,SHADOWCAT/KATHERINE ,DEATH,BLACK KNIGHT V/DANE ,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,SUNFIRE/SHIRO YOSHID,JONES, RICHARD MILHO,QUICKSILVER/PIETRO M,O'BRIEN, MICHAEL,COLLECTOR/TANELEER T,BLUE SHIELD/JOSEPH J,NORTHSTAR/JEAN-PAUL ,GYRICH, HENRY PETER,MEDUSA/MEDUSALITH AM,VISION ,SASQUATCH/WALTER LAN,INVISIBLE WOMAN/SUE ,ANGEL/WARREN KENNETH,BALDER [ASGARDIAN],NORRISS, SISTER BARB,BLITZKRIEG/,ROGUE /,WONDER MAN/SIMON WIL,PROFESSOR X/CHARLES ,LUNA/LUNA MAXIMOFF [,STINGRAY/DR. WALTER ,BEREET,WASP/JANET VAN DYNE ,IRON MAN/TONY STARK ,CAPTAIN BRITAIN/BRIA,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,STORM/ORORO MUNROE S,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,DEFENSOR,SHAMROCK/MOLLY FITZG,DARKSTAR/LAYNIA SERG,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA,STARSHINE II/BRANDY ,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,MOCKINGBIRD/DR. BARB,COLOSSUS II/PETER RA,SABRA/RUTH BAT-SERAP,HELLCAT/PATSY WALKER,TALISMAN,DAREDEVIL/MATT MURDO,GRANDMASTER/EN DWI G,HELA [ASGARDIAN],BEAST/HENRY &HANK& P,GARGOYLE II/ISAAC CH,HAWK,PEREGRINE, LE/FRANCK,SHE-HULK/JENNIFER WA,LUMPKIN, WILLIAM WIL"
AMPHIBIAN/KINGLEY RI,"POWER PRINCESS/ZARDA,DR. SPECTRUM/JOSEPH ,MASTER MENACE/DR. EM,HELLSTORM/DAIMON HEL,CAPTAIN HAWK,FOXFIRE/OLIVIA UNDER,SHAPE,NIGHTHAWK/KYLE RICHM,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,DR. DECIBEL/ANTON DE,CANTOR, VERA,JONES, ANDY,HULK/DR. ROBERT BRUC,GOLDEN ARCHER II/WYA,CAPTAIN AMERICA,ORKA,CROWLEY,QUAGMIRE,VISION ,NIGHTHAWK II/KYLE RI,JONES, KATIE,TOM THUMB/THOMAS THO,NIGHTHAWK III/NEAL,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,DR. STRANGE/STEPHEN ,HYPERION,NORRISS, SISTER BARB,MYSTERIUM/DR. JOSEPH,SKYMAX/SK'YM'X/JAMES,NUKE,WHIZZER II/STANLEY S,HELLCAT/PATSY WALKER,SCARLET CENTURION,ARCANNA/ARCANNA JONE,JONES, DRUCILLA,STEWART, MADDIE,LADY LARK/LINDA LEWI,BEAST/HENRY &HANK& P,GARGOYLE II/ISAAC CH,JONES, PHILLIP,OVERMIND/GROM,SILVER SURFER/NORRIN"
ANAIS,"SUMMERS, NATHAN CHRI,BLAQUESMITH,CALIBAN/,APOCALYPSE/EN SABAH ,CYCLOPS/SCOTT SUMMER,GAUNTLET,MARVEL GIRL/JEAN GRE,OZYMANDIAS"
"ANDERSON, GINA","SUMMERS, NATHAN CHRI,DARK MOTHER/FINALITY,CASPER,BRIDGE, GEORGE WASHI,MERRYWEATHER, IRENE,AUSTIN, GEN.,DEUTSCH, GEN.,BEAST/HENRY &HANK& P,PROFESSOR X/CHARLES ,WENDY,MARVEL GIRL/JEAN GRE,SPOOKY"
"ANDERSON, MARJORIE","HALE, JONAS,GAMELIN, JOHN T J.T.,NIVENA, JOANNA,JONES, HUGH,KREIGER, SIMON,SABOTEUR/,JARVIS, EDWIN ,STARK, MORGAN,BYRD, SEN. HARRINGTO,IRON MAN/TONY STARK ,HOGAN, VIRGINIA PEPP,ANDERSON, NICKY,ANDERSON, CHET,HAWK,STARK, HOWARD"
ANELLE,"GALACTUS/GALAN,VISION ,DEATH,DORREK [SKRULL],THOR/DR. DONALD BLAK,GRIMM, JAKE,INVISIBLE WOMAN/SUE ,RICHARDS, FRANKLIN B,THING/BENJAMIN J. GR,SENTRY 459,NOVA II/FRANKIE RAYE,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,HUMAN TORCH/JOHNNY S,HAWK,MR. FANTASTIC/REED R"
ANGEL DOPPELGANGER,"WARLOCK II/ADAM WARL,QUASAR DOPPELGANGER ,PROFESSOR X/CHARLES ,WOLVERINE/LOGAN ,THOR III DOPPELGANGE"
ANGEL III/HALLOWAY,"ABOMINATION/EMIL BLO,CAPTAIN AMERICA,STANKOWICZ, FABIAN,CAPTAIN TERROR/DAN K,ROTH, ARNIE,EVERY-MAN,HAUPTMANN DEUTSCHLAN,MADCAP,BANNER, BETTY ROSS T,BLACK MARVEL/DAN LYO,BLACK AVENGER/JERRY"
