hero,connection
ANTRO,"SPIDER-MAN/PETER PAR,CLEMSON, MIKE,MANIPULATOR II,REILLY, MAVIS,USAGENT/CAPTAIN JOHN,AVALANCHE/DOMINIC PE,PYRO/ALLERDYCE JOHNN,BLOB/FRED J. DUKES,ARACHNE,MANIPULATOR/,DESTINY II/IRENE ADL,COOPER, DR. VALERIE,CARPENTER, LARRY,IRON MAN/TONY STARK ,THERAK,SCARLET WITCH/WANDA ,LAMBERT, WILSON,CARPENTER, RACHEL,LIVING LIGHTNING/MIG,WONDER MAN/SIMON WIL,SPIDER-WOMAN II/JULI,HAWK"
"ANUBAR, ANWAR","STORM/ORORO MUNROE S,NIGHTCRAWLER/KURT WA,GAMBIT/REMY LEBEAU ,SHADOWCAT/KATHERINE ,FIREBALLS/JACK FARLE,WOLVERINE/LOGAN ,STEPHANAPOULUS, COSM,BOUDREAUX, BELLA DON,COURIER/JACOB GAVIN,ELLENTHORPE, MARIAH"
APE MAN/GORDON MONK,"BEERE, JASON,FROG MAN/FROG LE BLA,HARRIS, BERNARD,STURDY, PROF. KENNET,CYCLOPS/SCOTT SUMMER,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,SUNFIRE/SHIRO YOSHID,HELLEN,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,MADAME MASQUE/GIULIE,DRAGONFLY/VERONICA D,BIRD MAN/HENRY HAWK,STANCHEK, DR.,STORM/ORORO MUNROE S,DEATH-STALKER,PAGE, KAREN,SPYMASTER/JAKE JORDA,ANT-MAN/DR. HENRY J.,ICEMAN/ROBERT BOBBY ,BANSHEE/SEAN CASSIDY,ANGEL/WARREN KENNETH,COLOSSUS II/PETER RA,NELSON, FRANKLIN FOG,NELSON, DEBBIE HARRI,CAT MAN/HORGAN,NIGHTCRAWLER/KURT WA,THUNDERBIRD/JOHN PRO,DAREDEVIL/MATT MURDO,POLARIS/LORNA DANE,BEAST/HENRY &HANK& P,PROFESSOR X/CHARLES ,FREDERICKS, GENERAL,MARVEL GIRL/JEAN GRE,COUNT NEFARIA, LUCHI"
APE-X/XINA,"HYPERION II,POWER PRINCESS/ZARDA,GOLDEN ARCHER II/WYA,DR. SPECTRUM/JOSEPH ,QUAGMIRE,MASTER MENACE/DR. EM,TOM THUMB/THOMAS THO,CAPTAIN HAWK,INERTIA/,HYPERION,FOXFIRE/OLIVIA UNDER,SHAPE,NIGHTHAWK/KYLE RICHM,HAYWIRE/,REDSTONE/,WHIZZER II/STANLEY S,DR. DECIBEL/ANTON DE,ARCANNA/ARCANNA JONE,SCARLET CENTURION,LADY LARK/LINDA LEWI,AMPHIBIAN/KINGLEY RI"
APOCRYPHUS,"BLACK WIDOW/NATASHA ,CAPTAIN AMERICA,PHARAOH RAMA-TUT,DR. DRUID/ANTHONY LU,VISION ,CRYSTAL [INHUMAN],SSSITH,TYNDAR,RAVONNA LEXUS RENSLA,BLACK KNIGHT V/DANE ,THING/BENJAMIN J. GR,THUNDERSTRIKE/ERIC K,HERCULES [GREEK GOD],TEMPUS,RAA,HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R,DEATHUNT 9000,BLACK KNIGHT II/SIR"
ARAGORN,"RUBY,DR. SPECTRUM/JOSEPH ,RED RAVEN,WHIRLWIND/DAVID CANN,NORRISS, JACK,BLACK KNIGHT V/DANE ,MORGAN, JERROLD JERR,JARVIS, EDWIN ,RED GHOST/IVAN KRAGO,EXECUTIONER II/SKURG,HERCULES [GREEK GOD],KESTRUS,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,LOOTER/NORTON G. FES,ULTRON,MIST,CANTOR, VERA,MIRACLE MAN,CRUCIBLE/BYRON CALLE,SWORDSMAN/JACQUES DU,DORMAMMU,THUNDERBIRD II/JAMES,SPIDER-MAN/PETER PAR,FURY, COL. NICHOLAS ,YMIR,VISION ,ANT-MAN/DR. HENRY J.,XEMNU,CLOUD,ANGEL/WARREN KENNETH,PEATOR,NORRISS, SISTER BARB,ANCIENT ONE,PROFESSOR POWER/ANTH,METEORITE,MELTER/BRUNO HORGAN,MAN-APE/M'BAKU,SILVER SURFER/NORRIN,BI-BEAST II,LORELEI II/MELODI [A,HYPERION II,ENCHANTRESS/AMORA/HE,D'SPAYRE,LOKI [ASGARDIAN],HELLSTORM/DAIMON HEL,MORDRED THE EVIL,MAD DOG/COLONEL BUZZ,ARKON,RADIOACTIVE MAN/DR. ,WASP/JANET VAN DYNE ,LEVIATHAN II/EDWARD ,IRON MAN/TONY STARK ,ZEUS,RICTOR/JULIO ESTEBAN,MOONDRAGON/HEATHER D,NEBULON,HULK/DR. ROBERT BRUC,SLITHER,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,WONG,NIGHTHAWK II/KYLE RI,BLACK KNIGHT V STATU,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,KLAW/ULYSSES KLAW,DR. SPECTRUM II/DR. ,MANTIS/? BRANDT,BLACK KNIGHT IV/PROF,VALKYRIE IV,HELLCAT/PATSY WALKER,ATTUMA,LADY LARK/LINDA LEWI,BEAST/HENRY &HANK& P,GARGOYLE II/ISAAC CH,DANIA,HAWK,OVERMIND/GROM,BENTLEY, VICTORIA"
"ARBOGAST, BAMBI","SPIDER-WOMAN/JESSICA,ERWIN, MORLEY,SPYMASTER II,BLACK KNIGHT V/DANE ,BERKELEY, TRAVIS,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,STARK, MORGAN,KAZE,ALVAREZ, FELIX,SCARLET WITCH/WANDA ,ATOM SMASHER II/,HOGAN, VIRGINIA PEPP,THENA,CENTURY,EXODUS/BENNET DUPARI,PEARSON, MARCY,MISTER HYDE/CALVIN Z,IRON MAN IV/JAMES R.,ANT-MAN II/SCOTT HAR,INVISIBLE WOMAN/SUE ,BUTTERFLY,MOOMJI, INDRIES,HUMAN TORCH ANDROID/,NIGHTCRAWLER/KURT WA,LIVING LASER/ARTHUR ,ROGUE /,TASKMASTER,DR. DOOM/VICTOR VON ,WONDER MAN/SIMON WIL,TITANIUM MAN/BORIS B,STANE, OBADIAH,DUGAN, TIMOTHY ALOYI,PYRO/ALLERDYCE JOHNN,WHIPLASH/MARK SCARLO,WASP/JANET VAN DYNE ,HOGAN, HAROLD J. HAP,LANG, CASSANDRA CASS,STORM/ORORO MUNROE S,CABE, BETHANY,THOR/DR. DONALD BLAK,SHANG-CHI,WHITE TIGER II/,BROTHER VOODOO/DANIE,HAMMER, JUSTIN,CAGE, LUKE/CARL LUCA,WING, COLLEEN,BEAST/HENRY &HANK& P,LADY OF THE LAKE,MARTINELLI, VINCENT ,INAZUMA,BINARY/CAROL DANVERS,SHE-HULK/JENNIFER WA,SHADOWCAT/KATHERINE ,STRIDER,SAI/,SITWELL, JASPER,JARVIS, EDWIN ,SET,FORCE/CLAYTON WILSON,HERCULES [GREEK GOD],MORRELL, SABRINA,PUNISHER II/FRANK CA,FONG, LI,TODD, FISHER,IRON FIST/DANIEL RAN,CROWLEY, SEN.,SONDHEIM, ERICA,EGGHEAD/PROF. ELIHAS,FURY, COL. NICHOLAS ,CONTROLLER/BASIL SAN,VISION ,AVALANCHE/DOMINIC PE,ANT-MAN/DR. HENRY J.,DEWITT, KEARSON,VOR/TEX,DESTINY II/IRENE ADL,KINCAID, DR. JANE FO,HARKNESS, AGATHA,HUMAN TORCH/JOHNNY S,MELTER/BRUNO HORGAN,PROFESSOR X/CHARLES ,BENNING, VERONICA,JOCASTA,USAGENT/CAPTAIN JOHN,SUNTURION/ARTHUR DEA,BLOB/FRED J. DUKES,IRON MAN/TONY STARK ,STANKOWICZ, FABIAN,KAMINARI,MADAME MASQUE II/,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,LACOSTE, RAE,GREY GARGOYLE/PAUL P,LIONMANE/GEN. LO CHI,MACHINE MAN/X-51,CAPTAIN AMERICA,SLAG/SLAGHT, DR. THE,JEFFRIES, DR.,MYSTIQUE/RAVEN DARKH,RHODES, MRS.,SUB-MARINER/NAMOR MA,FALCON/SAM WILSON,MOCKINGBIRD/DR. BARB,LIVING LIGHTNING/MIG,GRANT, PHILLIP,DAREDEVIL/MATT MURDO,MANDARIN,MAULER/BRENDAN DOYLE,ZIMMER, ABE,SUMMERS, MADELYNE MA,DARE, KATHLEEN,STARR, TRIXIE TRISH,ERWIN, CLYTEMNESTRA,MAGMA II/JONATHAN DA"
ARIDES,"GORGON [INHUMAN],IRIDIA [INHUMAN],BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,CRYSTAL [INHUMAN],ANT-MAN/DR. HENRY J.,AIREO/AEOLUS [INHUMA,STALLIOR,TRITON,TIMBERIUS,QUICKSILVER/PIETRO M,LEONUS/LIONUS [INHUM,FALCONA [INHUMAN],PHAE-DOR,LOCKJAW [INHUMAN],MAXIMUS [INHUMAN],FALZON,KARNAK [INHUMAN]"
ARIES/MARCUS LASSITE,"NIXON, RICHARD,LIBRA/GUSTAV BRANDT,CANCER/JACK KLEVENO,WOO, JIMMY,CAPRICORN/WILLARD WE,VISION ,ANT-MAN/DR. HENRY J.,PARKER, MAY,CAPTAIN MARVEL/CAPTA,GEMINI/JOSHUA LINK,MR. FANTASTIC/REED R,WASP/JANET VAN DYNE ,LEO/DANIEL RADFORD"
ARISHEM [CELESTIAL],"HEIMDALL [ASGARDIAN],LIGHTSPEED/JULIE POW,SIKORSKY,MAKKARI/MIKE KHARY/I,THING/BENJAMIN J. GR,HARGEN,SHAMAN/MICHAEL TWOYO,AJAK/TECUMOTZIN [ETE,SCARLET WITCH/WANDA ,COUNTERWEIGHT II/KAT,GAMMENON [CELESTIAL],THENA,DREAMING CELESTIAL/T,RAGAR,INFINITY II,ACBA,HULK III/BRUCE BANNE,UATU,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,BROTHER TODE,INVISIBLE WOMAN/SUE ,HYPERION,GHAUR [DEVIANT],BALDER [ASGARDIAN],NOVA II/FRANKIE RAYE,ARCANNA/ARCANNA JONE,DR. DOOM/VICTOR VON ,PHASTOS [ETERNAL],ARES [GREEK GOD],SIF,JEMIAH,LOKI [ASGARDIAN],HARVEST/CHI LO,CRYSTAL [INHUMAN],MERCURY,KARKAS [DEVIANT],DEATHURGE,WASP/JANET VAN DYNE ,MEGGAN,FORGOTTEN ONE/GILGAM,ZEUS,NEZARR,KINGO SUNEN [ETERNAL,MEPHISTO,ROMA,ASHEMA [CELESTIAL],DAMIAN, DR. DANIEL,THOR/DR. DONALD BLAK,GENII/JASON KIMBALL,VOLSTAGG,SPRITE,TUTINAX,MARVEL GIRL/JEAN GRE,HAWK,THOR REPLICOID,FANDRAL [ASGARDIAN],SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V,TIGRA/GREER NELSON,GORGON [INHUMAN],IKARIS/IKE HARRIS [E,DEATH,DAYDREAMER/CATHERINE,GAEA,SERSI/SYLVIA,CHATTERTON, DAVE,EXITAR,HERCULES [GREEK GOD],VALKIN,RICHARDS, FRANKLIN 2,KRONOS,YRDISIS,TANAKA, KENJIRO,KARNAK [INHUMAN],SPIDER-MAN/PETER PAR,DR. DRUID/ANTHONY LU,ETERNITY/ADAM QADMON,VISION ,ANT-MAN/DR. HENRY J.,MAELSTROM/MALCOLM ST,FORGE,RICHARDS, FRANKLIN B,ANGEL/WARREN KENNETH,BROOP,ESON [CELESTIAL],WHIZZER II/STANLEY S,HUMAN TORCH/JOHNNY S,ZIRAN,PROFESSOR X/CHARLES ,BALLANTINE, KAYLA,ERISHKIGEL II/HOLLY ,TEFRAL,REJECT/RAN-SAK [DEVI,GEE/ALEX POWER,FOOL,ZURAS,ODIN [ASGARDIAN],HIGHNOTE/RAOUL HERNA,TOMAZOOMA,IRON MAN/TONY STARK ,MOONDRAGON/HEATHER D,CYBELE [ETERNAL],HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,ONE ABOVE ALL [CELES,ANALYZER,TRUTH,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,GALACTUS/GALAN,ONEG,SUB-MARINER/NAMOR MA,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,PHOENIX III/RACHEL S,BANSHEE/SEAN CASSIDY,TRITON,FALCON/SAM WILSON,DAMIAN, MARGO,MOCKINGBIRD/DR. BARB,DRUIG,AHAB/RORY CAMPBELL,KRO [DEVIANT],COUNTERWEIGHT/JACK P"
ARIZE,"STORM/ORORO MUNROE S,BISHOP /,MAJOR DOMO,ICEMAN/ROBERT BOBBY ,HAVOK/ALEX SUMMERS ,ANGEL/WARREN KENNETH,CANCELLATOR,SWEEPZWEAK,PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC,QUICKSILVER/PIETRO M,LONGSHOT,MAGOG II,POLARIS/LORNA DANE,ROGUE /,TIMESLOT"
"ARKANIAN, GLIB","ELYSIUS,HAV-ROGG,JELLA, PRIVATE,GRASSWIND, Z'OOFREY,LYTH'KA, COMMANDER,CAPTAIN MARVEL III/G,BAV-TEK,GODSTALKER,STECK'EE,MOONDRAGON/HEATHER D,GRANDMASTER/EN DWI G,BEL-DANN, GEN.,JARA,VAVELLA,ZEY-ROGG,STARFOX/EROS,LEEBRE, VEEDA,SHYM'R"
