hero,connection
AIRBORNE/,"ATTRACTIVE LAD/AUNDR,GRAY, CHARLES,CARLISLE, JENNA,CHARCOAL/CHARLIE BUR,NITRO/ROBERT L. HUNT,MOONSTONE II/KARLA S,MOONSTONE/LLOYD BLOC,JARVIS, EDWIN ,WHIPLASH/MARK SCARLO,IRON MAN/TONY STARK ,THERAK,RIVERA, DR. JASON,BEACH, SPIDER,ROCKETLAUNCHER/,HOGAN, VIRGINIA PEPP,ARIES II/GROVER RAYM,FIREFIGHT/,BEACH, GINGER,HAWK,COUNT NEFARIA, LUCHI,BOOBYTRAP/"
AJAX II,"BLIND AL/ALTHEA,OVERBOSS DIXON,PATCH II,FENWAY,EXPEDITER II/ZOE CUL,DEADPOOL/JACK/WADE W,BRUKNER, ILANEY,KILLBREW, DR.,DUBOIS, NOAH,MONTGOMERY"
AKULIA,"WILSON, DUBOSE,CROSS-WALLACE, SIR G"
ALBERT,"ELSIE DEE,SABRETOOTH/VICTOR CR,REESE, MURRAY,BLOODSCREAM,SPIRAL,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,LADY DEATHSTRIKE/YUR,PUCK/EUGENE MILTON J,ABCISSA,HUNTER IN DARKNESS,GATEWAY,GUARDIAN/JAMES MACDO,MR. FANTASTIC/REED R,STORM/ORORO MUNROE S,HUDSON, HEATHER,SUMMERS, NATHAN CHRI,FURY, COL. NICHOLAS ,GAIA,GAMBIT/REMY LEBEAU ,BRAINY,MYSTIQUE/RAVEN DARKH,FORGE,WRANGLER II/EMILY DO,WARPY,PIERCE, DONALD,TABESHAW, HARRY,MASQUE,STINKY,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,MARVEL GIRL/JEAN GRE,MOJO"
"ALEGRIA, RICHIE","THUNDERBIRD II/JAMES,PATCH II,REIGNFIRE/,BLACKHEART,BOOMER/TABITHA SMITH,BLACKSHEAR, JONAS,DOMINO III/BEATRICE/,BURKE, RICKY,SUNSPOT/ROBERTO DACO,SIRYN/THERESA ROURKE,EDWARDS, MARTIN/DR. ,STRYFE,NORRISS, SISTER BARB"
"ALLEN, TERRY","TRAPSTER/PETER PETRU,OLSEN, JIMMY,JANUS,HUMAN TORCH/JOHNNY S,DIAMOND, BOB,BAXTER, NOAH,TILBY, TRISH/PATRICI"
AMERICOP/,"BLACK WIDOW/NATASHA ,DIAMONDBACK II/RACHE,GOLDDIGGER,MOONHUNTER/ZACK MOON,SANADA, KONO,DRAN, DAMON"
ANALYZER,"HEIMDALL [ASGARDIAN],VIZIER,STELLARIS/LEAH PRINC,RIGER,SITWELL, JASPER,SERSI/SYLVIA,WOLVERINE/LOGAN ,EXECUTIONER II/SKURG,THOR II/ROGER RED NO,HERCULES [GREEK GOD],SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,ORACLE/LADY SIBYL,BEL-DANN, GEN.,LILANDRA NERAMANI [S,DESTROYER III,NOBILUS,INFINITY II,TEMPEST/GRANNZ,YMIR,UATU,SURTUR,DR. DRUID/ANTHONY LU,BLOODAXE/JACKIE LUKU,MANGOG,EGO,GLADIATOR II,ANGEL/WARREN KENNETH,KINCAID, DR. JANE FO,BALDER [ASGARDIAN],NOVA II/FRANKIE RAYE,WHIZZER II/STANLEY S,LUMINOR,NIGHTCRAWLER/KURT WA,ARCANNA/ARCANNA JONE,LEIR,ZON,KARNILLA [ASGARDIAN],PROFESSOR X/CHARLES ,WARSTAR,ENCHANTRESS/AMORA/HE,SIF,MASTERSON, KEVIN,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],JOVAN,JUVAN,CYCLOPS/SCOTT SUMMER,KINCAID, JIMMY,ZEFRA,THUNDERSTRIKE/ERIC K,ODIN [ASGARDIAN],LOGA II,SIMBUS,AUSTIN, SUSAN,STARBOLT,MOONDRAGON/HEATHER D,ARAKI [SHI'AR],GREY GARGOYLE/PAUL P,TRUTH,GALACTUS/GALAN,TAGAR,THOR/DR. DONALD BLAK,TANA NILE,RAKSOR [SKRULL],STEELE, MARCY MASTER,BELLAM,COLOSSUS II/PETER RA,HIGH EVOLUTIONARY/HE,VOLSTAGG,WARLOCK II/ADAM WARL,BEAST/HENRY &HANK& P,MANTA,SAPRISTI, JERRY,THOR REPLICOID,SUPREME INTELLIGENCE,FANDRAL [ASGARDIAN]"
"ANAMI, HIROSHI","CYBERTOOTH/YEN HSIEH,SCARLET WITCH/WANDA"
"ANDERS, JOSHUA RICHI","IRON MAN/TONY STARK ,CAGE, LUKE/CARL LUCA,MEDINA, ANALISA MARI,RAZOR/,HAMILTON, MICKY,HARDCORE/,POWER MAN III/STEELE,NORTH, DAKOTA,WONDER MAN/SIMON WIL,GRIFFITH, D.W.,BERNSTEIN, DR. NOAH"
"ANDERSON, CHET","STARK, HOWARD"
"ANDERSON, CHIEF MAGI","STORM/ORORO MUNROE S,FURY, COL. NICHOLAS ,MAGNETO/MAGNUS/ERIC ,GAMBIT/REMY LEBEAU ,MORLAK, MARIS,SHINSKI, PROFESSOR W,INVISIBLE WOMAN/SUE ,CYCLOPS/SCOTT SUMMER,FORGE,RICHARDS, FRANKLIN B,THING/BENJAMIN J. GR,COOPER, DR. VALERIE,MACTAGGERT, MOIRA KI,AYESHA,HUMAN TORCH/JOHNNY S,CALEDONIA/ALISANDE S,CHROME/,MARVEL GIRL/JEAN GRE,DELGADO,MR. FANTASTIC/REED R,HAWKSHAW"
ANDROMEDA/ANDROMEDA,"CROSS, GENEVIEVE,CAPTAIN MARVEL II/MO,CLOAK/TYRONE JOHNSON,DEATH,GAEA,WOLVERINE/LOGAN ,SOUTHERN, CANDY,THING/BENJAMIN J. GR,SCARLET WITCH/WANDA ,PUNISHER II/FRANK CA,INFINITY II,NIGHTMARE/EDVARD HAB,LORD CHAOS,STAR THIEF II,INTERLOPER,VASHTI,ETERNITY/ADAM QADMON,MERLIN,VISION ,NIGHT THRASHER/DUANE,INVISIBLE WOMAN/SUE ,MASTER ORDER,CLEA,CLOUD,ANGEL/WARREN KENNETH,MANSLAUGHTER,GHAUR [DEVIANT],NORRISS, SISTER BARB,MAXWELL, DR. WILFRED,HUMAN TORCH ANDROID/,DRAGON OF THE MOON,DEATHLOK III/MICHAEL,WONDER MAN/SIMON WIL,STINGRAY/DR. WALTER ,SILVER SURFER/NORRIN,WOLFE, SARA,LLYRA/LLYRA MORRIS,LLYRON,BLACK KNIGHT/SIR PER,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,KISMET/J'RIDIA STARD,IRON MAN/TONY STARK ,BLACK MORAY,IN-BETWEENER,MOONDRAGON/HEATHER D,BLESSING, MORGANA,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,RAHN, TAMARA,BLOOD WRAITH/SEAN DO,STORM/ORORO MUNROE S,DAGGER/TANDY BOWEN,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,GALACTUS/GALAN,WONG,SETH,RINTRAH,SUB-MARINER/NAMOR MA,MORGAN, DR. VIVIAN,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,TRITON,MOCKINGBIRD/DR. BARB,PSYLOCKE/ELISABETH B,KUBIK,LE FEY, MORGAN,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,MARRINA/MARRINA SMAL,GARGOYLE II/ISAAC CH,OBLIVION,MARVEL GIRL/JEAN GRE,BENTLEY, VICTORIA,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V"
"ANGELOPOULOS, ANGEL","MEDINA, ANALISA MARI,HAMILTON, MICKY,NORTH, DAKOTA"
ANGKOR,"SIMON, ALEX FLORES,BEACH, SPIDER,NEWMARK, LOTUS,WONDER MAN/SIMON WIL,FLORES, JAMIE,SAROYAN, NEAL"
"ANGSTROM, EARL","KELLY, SARA,FURY, COL. NICHOLAS ,DEATHLOK III/MICHAEL,KELLY, KAREN,COLLINS, TRACY,POWDERKEG/FRANK SKOR"
ANIMATOR II/,"CAGE, LUKE/CARL LUCA,MEDINA, ANALISA MARI,RHINO,ANDREWS, DARYL TROOP,ACHILLES II/HELMUT,IRON FIST/DANIEL RAN,HOGARTH, JERYN,DELPHI,CINDER/"
"ANON, LORD","BOVA,URSULA, LADY,GARGOUILLE/,PROJECTOR/,CARGIL/JOANNA CARGIL,TYGER, LORD,RAM, SIR,KINCAID, DR. JANE FO"
ANSWER II/DAVID FERR,"FURY, COL. NICHOLAS ,CAPTAIN AMERICA,FERRARI, CONNIE,BATROC/GEORGES BATRO,RED SKULL/JOHANN SCH"
APOSTATE,"TECHNARX,DIVINITY,LANCER/SAMANTHA DUNB,WINGFOOT, WYATT II,DR. DOOM/VICTOR VON ,DORMA II [ATLANTEAN],SHAKTI,ASHEMA [CELESTIAL]"
ARABIAN KNIGHT/ABDUL,"KA-ZAR/KEVIN PLUNDER,AMERICAN EAGLE III/J,SPIDER-WOMAN/JESSICA,BLACK KNIGHT V/DANE ,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,HAVOK/ALEX SUMMERS ,SHAMAN/MICHAEL TWOYO,JONES, RICHARD MILHO,SIROCCO,SCARLET WITCH/WANDA ,BETA RAY BILL,QUICKSILVER/PIETRO M,TORPEDO III/BROCK JO,DEVIL-SLAYER/ERIC SI,COLLECTOR/TANELEER T,BLUE SHIELD/JOSEPH J,WEREWOLF BY NIGHT/JA,IRON MAN IV/JAMES R.,URSA MAJOR/MIKHAIL U,ANT-MAN II/SCOTT HAR,NORTHSTAR/JEAN-PAUL ,UATU,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,INVISIBLE WOMAN/SUE ,BALDER [ASGARDIAN],NORRISS, SISTER BARB,MAXWELL, DR. WILFRED,NIGHTCRAWLER/KURT WA,ROGUE /,3-D MAN/CHARLES CHAN,MASTERS, ALICIA REIS,WONDER MAN/SIMON WIL,LOBO,SHANNA/SHANNA O'HARA,SIF,DRUMM, JERICHO,HOGUN [ASGARDIAN],HELLSTORM/DAIMON HEL,CRYSTAL [INHUMAN],PYRO/ALLERDYCE JOHNN,CYCLOPS/SCOTT SUMMER,WATER WIZARD/PETE,WASP/JANET VAN DYNE ,LEADER/SAM STERNS,REDWING,CAPTAIN BRITAIN/BRIA,SHOOTING STAR,LOCKLIN, GENERAL MER,STORM/ORORO MUNROE S,VANGUARD/NICOLAI KRY,DEFENSOR,FARGO, FLAGG,JAMESON, J. JONAH,DARKSTAR/LAYNIA SERG,THOR/DR. DONALD BLAK,BROTHER VOODOO/DANIE,CAGE, LUKE/CARL LUCA,COLOSSUS II/PETER RA,HELLCAT/PATSY WALKER,VALINOR,GRANDMASTER/EN DWI G,BEAST/HENRY &HANK& P,HAWK,AMINEDI,PEREGRINE, LE/FRANCK,FIREBIRD/BONITA JUAR,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V,LUMPKIN, WILLIAM WIL,IGOR,UNION JACK III/JOEY ,TIGRA/GREER NELSON,GORGON [INHUMAN],TALBOT, GLENN,SHADOWCAT/KATHERINE ,WHIZZER/ROBERT L. FR,IKARIS/IKE HARRIS [E,DEATH,AURORA/JEANNE-MARIE ,SERSI/SYLVIA,RED GHOST/IVAN KRAGO,SUNFIRE/SHIRO YOSHID,HERCULES [GREEK GOD],O'BRIEN, MICHAEL,IRON FIST/DANIEL RAN,STARFOX/EROS,GREMLIN/,KARNAK [INHUMAN],CRIMSON COMMANDO/FRA,FURY, COL. NICHOLAS ,SPIDER-MAN/PETER PAR,GYRICH, HENRY PETER,DR. DRUID/ANTHONY LU,VISION ,AVALANCHE/DOMINIC PE,COLLECTIVE MAN,SASQUATCH/WALTER LAN,ROSS, GEN. THADDEUS ,ANGEL/WARREN KENNETH,PEATOR,MOON KNIGHT/MARC SPE,ROM, SPACEKNIGHT,BLITZKRIEG/,SNOWBIRD/NARYA/ANNE ,HUMAN TORCH/JOHNNY S,PROFESSOR X/CHARLES ,STINGRAY/DR. WALTER ,LUNA/LUNA MAXIMOFF [,SILVER SURFER/NORRIN,BLACK WIDOW/NATASHA ,JOCASTA,BLOB/FRED J. DUKES,BEREET,ODIN [ASGARDIAN],NIGHTHAWK/KYLE RICHM,IRON MAN/TONY STARK ,RED WOLF III/WILL TA,MOONDRAGON/HEATHER D,SHROUD/MAXIMILLIAN Q,GYPSY MOTH,HULK/DR. ROBERT BRUC,GUARDIAN/JAMES MACDO,MR. FANTASTIC/REED R,DOC SAMSON/DR. LEONA,MACHINE MAN/X-51,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,MIKHLO,SHAMROCK/MOLLY FITZG,SUB-MARINER/NAMOR MA,STARSHINE II/BRANDY ,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,JACK OF HEARTS/JACK ,ADAMS, CINDY,FALCON/SAM WILSON,TRITON,MOCKINGBIRD/DR. BARB,TEXAS TWISTER/DREW D,VEIL,NELSON, FRANKLIN FOG,SABRA/RUTH BAT-SERAP,CRIMSON DYNAMO V/DIM,TALISMAN,DAREDEVIL/MATT MURDO,HELA [ASGARDIAN],GARGOYLE II/ISAAC CH,LOCKJAW [INHUMAN],BANNER, BETTY ROSS T"
ARAKI II,"EARTHQUAKE,CAPTAIN MARVEL II/MO,GLOM,ANT-MAN/DR. HENRY J.,ULTIMUS,ANGLER,ARACHNE,THUNDERSTRIKE/ERIC K,WASP/JANET VAN DYNE ,KORATH THE PURSUER,KISMET/J'RIDIA STARD,MOCKINGBIRD/DR. BARB,THERAK,SCARLET WITCH/WANDA ,ASTRA,ANTRO,RONAN THE ACCUSER [K,LILANDRA NERAMANI [S,WONDER MAN/SIMON WIL,SPIDER-WOMAN II/JULI,EPOCH,QUASAR III/WENDELL V"
ARCANNA/ARCANNA JONE,"SLEEPWALKER,TALISMAN II/ELIZABET,DR. SPECTRUM/JOSEPH ,EON,CHAMPION, IMUS,MAKKARI/MIKE KHARY/I,INERTIA/,GAEA,JARVIS, EDWIN ,SHAMAN/MICHAEL TWOYO,SHAPE,BEAUTY,SCARLET WITCH/WANDA ,REDSTONE/,ULTRON,DR. DECIBEL/ANTON DE,GHOST RIDER III/DAN ,JAKAR,INFINITY II,BLUE SHIELD/JOSEPH J,TANAKA, KENJIRO,STRANGER,SPIDER-MAN/PETER PAR,QUAGMIRE,DR. DRUID/ANTHONY LU,VISION ,MAELSTROM/MALCOLM ST,PHOBIUS,HYPERION,4-D MAN/MERCURIO,NORRISS, SISTER BARB,MYSTERIUM/DR. JOSEPH,WHIZZER II/STANLEY S,HAYWIRE/,NUKE,APE-X/XINA,JONES, DRUCILLA,STEWART, MADDIE,WONDER MAN/SIMON WIL,BI-BEAST II,BALLANTINE, KAYLA,HYPERION II,POWER PRINCESS/ZARDA,MASTER MENACE/DR. EM,HELLSTORM/DAIMON HEL,CAPTAIN HAWK,FOXFIRE/OLIVIA UNDER,DEATHURGE,NIGHTHAWK/KYLE RICHM,IRON MAN/TONY STARK ,ORIGIN/PHYLLIS TWOMB,MASTERS, DR. AUGUST,DRAGONFLY/VERONICA D,SERGEI,MOONDRAGON/HEATHER D,JONES, ANDY,BLACK CROW/JESSE BLA,THERMITE/,MEPHISTO,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,KID REAPER,TRUTH,CAPTAIN AMERICA,GOLDEN ARCHER II/WYA,MOONGLOW/,CROWLEY,GALACTUS/GALAN,NIGHTHAWK II/KYLE RI,JONES, KATIE,THOR/DR. DONALD BLAK,TOM THUMB/THOMAS THO,SUB-MARINER/NAMOR MA,DR. STRANGE/STEPHEN ,PHOENIX III/RACHEL S,EGO-PRIME,CHARM,WARLOCK II/ADAM WARL,LADY LARK/LINDA LEWI,BEAST/HENRY &HANK& P,GARGOYLE II/ISAAC CH,RED GUARDIAN III/DR.,AMPHIBIAN/KINGLEY RI,JONES, PHILLIP,BINARY/CAROL DANVERS,HAWK,OVERMIND/GROM,HELIO,QUASAR III/WENDELL V"
ARCHAEOPTERYX/TONAJA,"DINU,MENDICUS,BLACK WIDOW II/YELEN,JARZINHO, COL. EDSON,GORGON [INHUMAN],BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,NEIFI [INHUMAN],CRYSTAL [INHUMAN],ELEJEA,TRITON,REXEL TOIVEN,STALYENKO, COL. YURI,NAHREES [INHUMAN],TIMBERIUS,KALIKYA [INHUMAN],CLINTON, BILL,MAXIMUS [INHUMAN],LOCKJAW [INHUMAN],TOI/REXEL TOIVEN,CARTHUS,MR. FANTASTIC/REED R,KARNAK [INHUMAN],WOZ/DEWOZ"
ARCHER/JUDE BLACK,"BLACK, CAL,YOUNG, MR.,WILD CHILD/KYLE GIBN,MYSTIQUE/RAVEN DARKH,CYCLOPS/SCOTT SUMMER,DARK BEAST/HENRY MCC,FORGE,AURORA/JEANNE-MARIE ,HAVOK/ALEX SUMMERS ,SHARD,YOUNG, AGNES,EVER,BRICKMAN, SEN. MILES,LEASH, MICAH,FATALE/PAMELA GREENW,GREYSTONE/BRIAN YOUN,BLACK, RACHEL,BANTAM/,MULTIPLE MAN/JAMES A,FIXX,POLARIS/LORNA DANE"
ARCTURUS,"STORM/ORORO MUNROE S,WOLVERINE SKRULL,SOTEIRA,MELLACE, LUCY SANTIN,PUNISHER II/FRANK CA,DAREDEVIL/MATT MURDO,REVELATION II/,EPHESUS"
ARIA,"BLACK WIDOW/NATASHA ,JUSTICE II/VANCE AST,MAM'SELLE HEPZIBAH,TORGO,SOLO/,FIRESTAR/ANGELICA JO,VISION ,CARDIAC/DR. ELI WIRT,SIKORSKY,WOLVERINE/LOGAN ,RAZA LONGKNIFE,FALCON/SAM WILSON,DARKHAWK/CHRIS POWEL,CORSAIR,HUMAN TORCH/JOHNNY S,COLLECTOR/TANELEER T,CH'OD,SPEEDBALL/ROBBIE BAL"
ARMADA II/,"LEWIS, SHIRLEY WASHI,SPIDER-MAN/PETER PAR,GREEN GOBLIN IV/PHIL,BUZZ,JAMESON, J. JONAH,LEWIS, DET. GARON,URICH, BEN,SPIDER-MAN CLONE/BEN,LEWIS, DEVON,WATSON-PARKER, MARY ,MYSTERIO/QUENTIN BEC"
ARMAGEDDON MAN,"THUNDERBIRD II/JAMES,BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU,BEDLAM/JESSE AARONSO,SUNSPOT/ROBERTO DACO"
ARON [WATCHER],"TIGRA/GREER NELSON,PAIBOK, CAPT. [SKRUL,DEVOS THE DEVESTATOR,THING/BENJAMIN J. GR,VISION DOPPELGANGER ,JONES, RICHARD MILHO,HERCULES [GREEK GOD],THING DOPPELGANGER I,STRONG GUY/GUIDO CAR,SCARLET WITCH/WANDA ,WIZARD/BENTLEY WITTM,EELAK,COLLECTOR/TANELEER T,CAPTAIN MARVEL/CAPTA,FIELSTEIN, FIREWORKS,ANT-MAN II/SCOTT HAR,UATU,LYJA LAZERFIST [SKRU,MOLECULE MAN/OWEN RE,STONE, LT. MARCUS,ANT-MAN/DR. HENRY J.,MALICE III,INVISIBLE WOMAN/SUE ,MS. MARVEL II/SHARON,RICHARDS, FRANKLIN B,PULSSUS,RASSITANO, MAD DOG,HARKNESS, AGATHA,HUMAN TORCH/JOHNNY S,ROGUE /,MASTERS, ALICIA REIS,DR. DOOM/VICTOR VON ,PUPPET MASTER/PHILLI,WONDER MAN/SIMON WIL,PROFESSOR X/CHARLES ,TITANIA II/MARY SKEE,ATOR, GENERAL,MAGUS,BOGGS, MORDECAI P.,SILVER SABLE,CYCLOPS/SCOTT SUMMER,WASP/JANET VAN DYNE ,O'NEIL, BRIDGET,MOLE MAN/HARVEY RUPE,NECRODAMUS,EBONY,MR. FANTASTIC/REED R,GLABOO,RUIZ, RIGGER,CAPTAIN AMERICA,HUDSON, HEATHER,GALACTUS/GALAN,DRAGON MAN,ROOTAR,DR. STRANGE/STEPHEN ,KLAW/ULYSSES KLAW,MANTIS/? BRANDT,KRISTOFF/KRISTOFF VE,ZARRKO, ARTHUR,HYDROMAN/MORRIE BENC,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V"
ARSENAL II,"SIMMONS, ARCHIE,MONTANA II,BUSHMAN, RAOUL"
ASANO,"STORM/ORORO MUNROE S,NIGHTCRAWLER/KURT WA,YUKIO,YASHIDA, MARIKO,CYCLOPS/SCOTT SUMMER,WOLVERINE/LOGAN"
ASHEMA [CELESTIAL],"WINGFOOT, WYNONA,TEFRAL,GORGON [INHUMAN],CRYSTAL [INHUMAN],THING/BENJAMIN J. GR,ST. LAWRENCE, COL. C,WASP/JANET VAN DYNE ,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,TECHNARX,NEZARR,DIVINITY,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,KARNAK [INHUMAN],HULK III/BRUCE BANNE,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,BLACK PANTHER/T'CHAL,ETERNITY/ADAM QADMON,MEDUSA/MEDUSALITH AM,MARVEL GIRL II/VALER,BLACK BOLT/BLACKANTO,VISION ,ONEG,ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA,INVISIBLE WOMAN/SUE ,DR. STRANGE/STEPHEN ,RICHARDS, FRANKLIN B,TRITON,FALCON/SAM WILSON,ESON [CELESTIAL],HUMAN TORCH/JOHNNY S,LANCER/SAMANTHA DUNB,DR. DOOM/VICTOR VON ,DORMA II [ATLANTEAN],SHAKTI,ZIRAN,HAWK,APOSTATE,SHE-HULK/JENNIFER WA"
"ASHER, DONNA","OSWALD,ORWELL,HOFFMAN,ASHER, MICHAEL"
