hero,connection
AINET,"STORM/ORORO MUNROE S,MARROW/SARAH ,MAGGOTT/JAPHETH,CANNONBALL II/SAM GU,SHADOW KING/AMAHL FA,REYES, DR. CECELIA,WOLVERINE/LOGAN ,PSYLOCKE/ELISABETH B"
"AKUTAGAWA, OSAMU","HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR,LADY DEATHSTRIKE/YUR"
"ALDEN, PROF. MEREDIT","CABE, BETHANY,STORM, SUE | TIMESLI,CAPTAIN AMERICA,STARK, HOWARD | TIME,GRIMM, BEN | TIMESLI,VISION ,MURDOCK, MATT | TIME,CRYSTAL [INHUMAN],ANT-MAN/DR. HENRY J.,DR. DOOM | TIMESLIDE,ARBOGAST, BAMBI,LUMPKIN, WILLIE | TI,WASP/JANET VAN DYNE ,HOGAN, HAROLD J. HAP,HERCULES [GREEK GOD],TOBIAS,NELSON, FRANKLIN FOG,HOGAN, VIRGINIA PEPP,FROSTBITE/DR. SLOANE,IRON MAN V/TEEN TONY,STARK, MARIA | TIMES,CENTURY,JARVIS, EDWIN | TIME,MCCALL, MEREDITH | T,MALACHI"
ALISTRO,"ENCHANTRESS/AMORA/HE,HEIMDALL [ASGARDIAN],SIF,VIZIER,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],SETH II,HERMOD [ASGARDIAN],ODIN [ASGARDIAN],BALDER [ASGARDIAN],FRIGGA,PYLLAR,SNAGG,MROTH,ULIK,FANDRAL [ASGARDIAN]"
"ALVAREZ, PAUL","ATOR, GENERAL,ZARATHUSTRA,GO-DEVIL/GO ISHIMORI,VIBRAXAS/N'KANO,SANDOR, PROFESSOR IS,SAPPHIRAS,MARGOYLE,DIABLO/ESTEBAN DE AB,LYJA LAZERFIST [SKRU,BLACK PANTHER/T'CHAL,PO, KIM,WINGFOOT, WYATT,THOR/DR. DONALD BLAK,HUNTARA/MARY ELIZABE,ROOTAR,WOO, SONIA,PULSSUS,TRITON,MOSES,LE FEY, MORGAN,FURGAR,CYNAS,PSI-LORD/FRANKLIN BE,HUMAN TORCH/JOHNNY S,DEVLOR,TARGON,GRANT, SILAS II,ARCADIUS,RICHARDS, NATHANIEL,SEEKER III,SHE-HULK/JENNIFER WA"
AMERICAN SAMURAI/,"PAGE, KAREN,DAREDEVIL/MATT MURDO,ELEKTRA/ELEKTRA NATC,STEWART, MACKINLEY,LAU, KING"
AMPERE/,"QUICKSILVER/PIETRO M,BRAWLER"
ANCESTOR/,"RECORDER II,FOUNDRY,USAGENT/CAPTAIN JOHN,ARBOGAST, BAMBI,LICH,ENDO, DR. SUZI,YIN, DR. SU,Q'WAKE/QUAKE,SICKLE,BUTTERFLY,WARFIST,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,DELUGE II,MANDARIN,OLD WOMAN,CENTURY,SPIDER-WOMAN II/JULI,IRON MAN IV/JAMES R."
ANCIENT ONE/BARON MO,"BLOODSTORM | MUTANT ,DR. STRANGE | MUTANT,FALLEN | MUTANT X-VE,YELLOWJACKET II | MU,POLARIS | MUTANT X-V,HULK | MUTANT X-VERS,MAN-SPIDER | MUTANT ,GORGON | MUTANT X-VE,DR. DOOM | MUTANT X-,BRUTE | MUTANT X-VER,PROFESSOR X | MUTANT,HAVOK/ALEX SUMMERS ,TRITON | MUTANT X-VE,IKARIS | MUTANT X-VE,BEYONDER | MUTANT X-,BLACK BOLT | MUTANT ,SERSI | MUTANT X-VER,MARVEL WOMAN | MUTAN,SUMMERS, SCOTT III |,KARNAK | MUTANT X-VE,ICE-MAN | MUTANT X-V,DRACULA | MUTANT X-V,STINGRAY | MUTANT X-,MEDUSA | MUTANT X-VE"
"ANDERSSEN, TANYA","KA-ZAR/KEVIN PLUNDER,TRASK, LAWRENCE LARR,MAGNETO/MAGNUS/ERIC ,SHADOWCAT/KATHERINE ,COPYCAT/VANESSA,LORELEI,DEADPOOL/JACK/WADE W,CYCLOPS/SCOTT SUMMER,HAVOK/ALEX SUMMERS ,BLACK TOM CASSIDY,FERAL/MARIA CALLASAN,SCARLET WITCH/WANDA ,LIVING MONOLITH/AHME,UNUS THE UNTOUCHABLE,TOAD/MORTIMER TOYNBE,AMPHIBIUS,SAURON/DR. KARL LYKO,SHATTERSTAR II/GAVEE,FURY, COL. NICHOLAS ,GAZA,SPIDER-MAN/PETER PAR,THUNDERBIRD II/JAMES,TIMBERIUS II,SUMMERS, NATHAN CHRI,MASTERMIND/JASON WYN,SIRYN/THERESA ROURKE,ICEMAN/ROBERT BOBBY ,BANSHEE/SEAN CASSIDY,VANISHER,ANGEL/WARREN KENNETH,COLOSSUS II/PETER RA,TONGAH,CHALMERS, JUDGE ROBE,BOOMER/TABITHA SMITH,ZABU,BRIDGE, GEORGE WASHI,TOLLIVER,MESMERO,POLARIS/LORNA DANE,BEAST/HENRY &HANK& P,MARVEL GIRL/JEAN GRE"
"ANDREWS, DARYL TROOP","TOMBSTONE/LONNIE THO,NITRO/ROBERT L. HUNT,HOGARTH, JERYN,KICKBACK/RICHARD,GRIFFITH, D.W.,BERNSTEIN, DR. NOAH,STRYKER, WILLIS,ANDERS, JOSHUA RICHI,CAGE, LUKE/CARL LUCA,MEDINA, ANALISA MARI,RAZOR/,HAMILTON, MICKY,RHINO,HARDCORE/,POWER MAN III/STEELE,PUNISHER II/FRANK CA,IRON FIST/DANIEL RAN,NORTH, DAKOTA,WONDER MAN/SIMON WIL,GOLDIELOCKS/,BLASTING CAP/,HULK/DR. ROBERT BRUC,LEGS II/"
ANGAR THE SCREAMER/D,"LEI KUNG, THE THUNDE,QUILL,RUBY,TIGRA/GREER NELSON,ARMADILLO/ANTONIO RO,ROCKET RACER/ROBERT ,WHIRLWIND/DAVID CANN,DADDY LONGLEGS/RAMSE,MORGAN, JERROLD JERR,CHAKA KHAN,JOLT/HALLIE TAKAHAMA,WIZARD/BENTLEY WITTM,TICKTOCK,IRON FIST/DANIEL RAN,OVERRIDER/,FLYING TIGER,CAPTAIN MARVEL/CAPTA,VECTOR,CITIZEN V II/HELMUT ,STARFOX/EROS,MISTER HYDE/CALVIN Z,WEREWOLF BY NIGHT/JA,MAGNUS,KNOCKABOUT/,IRONCLAD,FURY, COL. NICHOLAS ,GYRICH, HENRY PETER,BATROC/GEORGES BATRO,VISION ,ANT-MAN/DR. HENRY J.,MOONSTONE II/KARLA S,RAMROD II,PSI-BORG/,VIOLENCE/,IMPOSSIBLE MAN,BATTERY/,STILT-MAN/WILBUR DAY,CARSON, LT. PAUL,TRAPSTER/PETER PETRU,MASTER KHAN/TYRONE K,JZEMLICO, WARDEN,SHOCKER/HERMAN SCHUL,O'HARA, ROBERT IRONG,NAGAN, DR. ARTHUR,AUGUST PERSONAGE IN ,KAINE,TITANIA II/MARY SKEE,KNIGHT, MISTY,BLACK WIDOW/NATASHA ,SMOKESCREAM/,DUGAN, TIMOTHY ALOYI,KRAVEN THE HUNTER/SE,BEETLE/ABNER RONALD ,MAD DOG/COLONEL BUZZ,NEKRA/ADRIENNE HATRO,ISHIMA, DAVID,WHIPLASH/MARK SCARLO,MCCABE, LINDSAY,POWER MAN/ERIK JOSTE,MOONDRAGON/HEATHER D,COBRA/KLAUS VORHEES,HANGMAN,MCDOWELL, SCOTTY,GYPSY MOTH,ASSAULT/,SCIMITAR,TERRAX,CAPTAIN AMERICA,ORKA,NIGHTHAWK II/KYLE RI,ELECTRO/MAX DILLON,THOR/DR. DONALD BLAK,POLTERGEIST/MICKEY S,KLAW/ULYSSES KLAW,SCREAMING MIMI/MELIS,CAGE, LUKE/CARL LUCA,WING, COLLEEN,PRINCESS PYTHON/ZELD,LE FEY, MORGAN,DAREDEVIL/MATT MURDO,BRIDGE, GEORGE WASHI,RINGMASTER/MAYNARD T,RED GUARDIAN III/DR.,MADCAP,HYDROMAN/MORRIE BENC,QUASAR III/WENDELL V"
ANIMUS,"LIPSCOMB, DR. ANGELA,HULK/DR. ROBERT BRUC,DOC SAMSON/DR. LEONA"
ANNALEE,"MAGNETO/MAGNUS/ERIC ,CLOAK/TYRONE JOHNSON,SHADOWCAT/KATHERINE ,GEE/ALEX POWER,TARBABY,BEAUTIFUL DREAMER,WOLVERINE/LOGAN ,MIRAGE II/DANIELLE M,SCRAMBLER,APE/,BETA RAY BILL,COUNTERWEIGHT II/KAT,POWER, MARGARET,SUNDER,STORM/ORORO MUNROE S,SCALPHUNTER,DAGGER/TANDY BOWEN,POWER, DR. JIM,CALLISTO,MAGIK/ILLYANA RASPUT,HARPOON,PIPER,PHOENIX III/RACHEL S,RICHARDS, FRANKLIN B,PSYLOCKE/ELISABETH B,ERG,COLOSSUS II/PETER RA,RIPTIDE,NIGHTCRAWLER/KURT WA,LOCKHEED,MASQUE,ROGUE /,LEECH,CALIBAN/,BEAST/HENRY &HANK& P,FRIEDLANDER, SHARON,COUNTERWEIGHT/JACK P"
ANSWER,"KINGPIN/WILSON FISK,DAGGER/TANDY BOWEN,SPIDER-MAN/PETER PAR,CLOAK/TYRONE JOHNSON,JAMESON, J. JONAH,ROBERTSON, JOE,FISK, VANESSA,PARKER, MAY,BLACK CAT/FELICIA HA,SILVERMANE/SILVIO MA,WATSON-PARKER, MARY ,OSBORN, LIZ ALLAN,URICH, BEN,LEEDS, BETTY BRANT,SCHEMER/RICHARD FISK,SHA SHAN,DEWOLFF, JEAN,MUGGINS, MAMIE,THOMPSON, EUGENE FLA,OSBORN, HARRY,LUBENSKI, NATE"
ANTHROMORPHO,"QUASAR III/WENDELL V,ERISHKIGEL II/HOLLY ,MAGUS,GAMORA,CYCLOPS/SCOTT SUMMER,MAKKARI/MIKE KHARY/I,AURORA/JEANNE-MARIE ,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,THUNDERSTRIKE/ERIC K,SHAMAN/MICHAEL TWOYO,LIVING TRIBUNAL,HERCULES [GREEK GOD],STRONG GUY/GUIDO CAR,SCARLET WITCH/WANDA ,MOONDRAGON/HEATHER D,HULK/DR. ROBERT BRUC,TANAKA, KENJIRO,CAREGIVER/RUBANNA LA,STORM/ORORO MUNROE S,PIP/PRINCE GOFERN,THUNDERBIRD II/JAMES,CAPTAIN AMERICA,HUDSON, HEATHER,DR. DRUID/ANTHONY LU,ETERNITY/ADAM QADMON,SASQUATCH/WALTER LAN,INVISIBLE WOMAN/SUE ,ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH,PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,LIVING LIGHTNING/MIG,THANOS,DRAX/ARTHUR DOUGLAS,HARKNESS, AGATHA,HUMAN TORCH/JOHNNY S,WARLOCK II/ADAM WARL,ROGUE /,CHIEF EXAMINER,ANOMALY III,GRANDMASTER/EN DWI G,PROFESSOR X/CHARLES ,CONTEMPLATOR/TATH KI,BALLANTINE, KAYLA,SHE-HULK/JENNIFER WA"
ANTIBODY,"UATU,BLUR,QUASAR III/WENDELL V"
ANVIL/JOHNNY ANVIL,"SPIDER-MAN/PETER PAR,ANGAR THE SCREAMER/D,HAMMER/LEROY JACKSON,ARMBRUSTER, COLONEL ,WOLVERINE/LOGAN ,SCOURGE,HULK/DR. ROBERT BRUC"
APOCALYPSE | MUTANT,"BLOODSTORM | MUTANT ,FALLEN | MUTANT X-VE,GAMBIT | MUTANT X-VE,ELEKTRA | MUTANT X-V,PESTILENCE | MUTANT ,BRUTE | MUTANT X-VER,FAMINE | MUTANT X-VE,MAGNETO | MUTANT X-V,HAVOK/ALEX SUMMERS ,PROFESSOR X | MUTANT,MR. SINISTER | MUTAN,RAVEN | MUTANT X-VER,SUMMERS, SCOTT III |,ICE-MAN | MUTANT X-V,GREY, JEAN | MUTANT ,CAPTAIN AMERICA | MU,X-MAN | MUTANT X-VER,WAR/ABRAHAM LINCOLN"
APPALLA,"WONG,CAPTAIN MARVEL/CAPTA,CLEA"
AQUARIUS II/,"IRON MAN/TONY STARK ,VIRGO/ELAINE MCLAUGH,ERWIN, CLYTEMNESTRA,IRON MAN IV/JAMES R."
AQUARIUS III/,"ARIES III/,MANBOT/BERNIE LACHEN,HUDSON, HEATHER,CANCER II/,NORTHSTAR/JEAN-PAUL ,RADIUS/JARED CORBO,BOX IV/MADISON JEFFR,HADDOCK, DR. MYRA,PISCES II,SAGITTARIUS II/,TAURUS II/,VIRGO II,LIBRA IV/,FLEX/ADRIAN CORBO,CAPRICORN II/"
ARCADIUS,"LLYRON,ATOR, GENERAL,GORGON [INHUMAN],AHURA,CRYSTAL [INHUMAN],STALLIOR,THING/BENJAMIN J. GR,VIBRAXAS/N'KANO,NEBULO,HERCULES [GREEK GOD],TIMBERIUS,QUICKSILVER/PIETRO M,SAPPHIRAS,EELAK,MAXIMUS [INHUMAN],MARGOYLE,GLABOO,BLOOD WRAITH/SEAN DO,KARNAK [INHUMAN],ANT-MAN II/SCOTT HAR,LYJA LAZERFIST [SKRU,BLACK PANTHER/T'CHAL,VASHTI,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,THOR/DR. DONALD BLAK,ROOTAR,SUB-MARINER/NAMOR MA,HUNTARA/MARY ELIZABE,INVISIBLE WOMAN/SUE ,PULSSUS,TRITON,PORCAL,KRISTOFF/KRISTOFF VE,ZARRKO, ARTHUR,LE FEY, MORGAN,FURGAR,CYNAS,LEONUS/LIONUS [INHUM,PSI-LORD/FRANKLIN BE,HUMAN TORCH/JOHNNY S,TARGON,LOCKJAW [INHUMAN],RICHARDS, NATHANIEL"
"ARCHER, ULYSSES SAMS","SANTA CLAUS/NICK ST.,WINGFOOT, WYATT,POPPA WHEELER,THING/BENJAMIN J. GR,XEMNU,RAZORBACK/,SPRAGG,WIDE LOAD ANNIE/ANNI,RETREAD,O'CONNELL, TARYN,MCGRILL, MARY,MASON, LOUISE,EROS,ROCKET RACCOON,SHE-HULK/JENNIFER WA,MAHKIZMO"
AREX,"ANT-MAN II/SCOTT HAR,GRONK,IKARIS/IKE HARRIS [E,RITTER, DEBORAH ,KARKAS [DEVIANT],INVISIBLE WOMAN/SUE ,PHOBIUS,MAKKARI/MIKE KHARY/I,THING/BENJAMIN J. GR,GHAUR [DEVIANT],BEAUTY,FORGOTTEN ONE/GILGAM,SPRITE,THENA,PHASTOS [ETERNAL],RITTER, DONALD,KRO [DEVIANT],HELIO"
ARIES III/,"MANBOT/BERNIE LACHEN,CANCER II/,VIRGO II,LIBRA IV/,FLEX/ADRIAN CORBO,CAPRICORN II/,SAGITTARIUS II/"
ARKO,"ENCHANTRESS/AMORA/HE,SIF,HEIMDALL [ASGARDIAN],HERMOD [ASGARDIAN],ODIN [ASGARDIAN],PARETSKY, DR. GARY,BALDER [ASGARDIAN],STEELE, MARCY MASTER,VOLSTAGG,GUDRUN [ASGARDIAN],KARNILLA [ASGARDIAN],MARRERO, ED,MEPHISTO,SAPRISTI, JERRY,FANDRAL [ASGARDIAN]"
ARMADA,"NIGHT THRASHER/DUANE,NOVA/RICHARD RIDER"
ARSENAL,"CAPTAIN AMERICA,CAPTAIN MARVEL II/MO,GYRICH, HENRY PETER,VISION ,ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK,ROSS, GEN. THADDEUS ,BEREET,JARVIS, EDWIN ,LEADER/SAM STERNS,JONES, RICHARD MILHO,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,MADAME MASQUE/GIULIE,WONDER MAN/SIMON WIL,BEAST/HENRY &HANK& P,HAWK,HULK/DR. ROBERT BRUC,UNICORN/MYLOS MASARY,BANNER, BETTY ROSS T,SHE-HULK/JENNIFER WA"
"ASBERY, SHAMARI","BISON/BILLY KITSON,QUICKSAND,MEPHISTO,JARVIS, EDWIN ,STEELE, MARCY MASTER"
"ASH, BRANDY","GORGON [INHUMAN],ULTRON,BLACKHEART,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,NUMBER NINE,DAREDEVIL/MATT MURDO,MEPHISTO,LOCKJAW [INHUMAN],POPE,KARNAK [INHUMAN]"
"ASHER, MICHAEL","OSWALD,HOFFMAN,NILES, SEN. CATHERIN,FAGIN"
"ASTROVIK, NORMA","JUSTICE II/VANCE AST,JONES, BART,JOCASTA,CHORD, ANDREW,FIRESTAR/ANGELICA JO,CRYSTAL [INHUMAN],YASHIDA, MARIKO,NAMORITA/NITA PRENTI,ELEC'TRIX/,TAI II,THING/BENJAMIN J. GR,NOVA/RICHARD RIDER,ASTROVIK, ARNOLD,BANK, IRVING,FU'SE,GRANT, GATOR,HULK/DR. ROBERT BRUC,SPEEDBALL/ROBBIE BAL,CHORD, MIYAMI,NIGHT THRASHER/DUANE,MARVEL BOY VII/DAVID,VISION ,SILHOUETTE,JANES, FATHER MICHAE,THOR/DR. DONALD BLAK,DR. STRANGE/STEPHEN ,MS. MARVEL II/SHARON,DARKHAWK/CHRIS POWEL,SMILING TIGER/,NELSON, FRANKLIN FOG,BLOODSTRIKE/ERIC CON,MIDNIGHT'S FIRE/,DIE'ODE/,DREYFUSS, RACHEL,WONDER MAN/SIMON WIL,BEAST/HENRY &HANK& P,RAGE/ELVIN DARYL HAL,HAWK"
ASYLUM II/HENRIQUE M,"CORONARY/JIMMY SHARP,JUSTICE II/VANCE AST,IMPULSE II/DWIGHT HU,PRETTY PERSUASIONS/H,TURBO II (A)/MICHIKO,FIRESTAR/ANGELICA JO,NIGHT THRASHER/DUANE,TIMESLIP/RINA PATEL,GEE/ALEX POWER,HENDERSON, CAROL,SPIDER-MAN CLONE/BEN,NOVA/RICHARD RIDER,CHEN, DR.,SPEEDBALL II/DARRION,MATHEMANIC/THOMAS SO,RAGE/ELVIN DARYL HAL,SPROCKET"
ASYLUM/,"CORONARY/JIMMY SHARP,JUSTICE II/VANCE AST,IMPULSE II/DWIGHT HU,CHORD, ANDREW,PRETTY PERSUASIONS/H,FIRESTAR/ANGELICA JO,NIGHT THRASHER/DUANE,SILHOUETTE,TERRAX II/TYROS,NAMORITA/NITA PRENTI,INVISIBLE WOMAN/SUE ,TAI II,NOVA/RICHARD RIDER,SPHINX II,LEFT HAND/DIEGO CASS,MATHEMANIC/THOMAS SO,ROSEN, WALTER,MIDNIGHT'S FIRE/,HUMAN TORCH/JOHNNY S,SPEEDBALL/ROBBIE BAL"
